===== Headers
# internalName	tex1	tex2	matrix	scripts	levelscripts	texts	musicDay	musicNight	events	name	nameStyle	nameframe	weather	followMode	nameStyle	flags	tileset
EVERYWHERE	15	0	0	139	399	3	1000	1000	0	Mystery Zone	166	0	2	48	14	255	0
NOTHING	15	0	0	139	399	3	1000	1000	0	Mystery Zone	166	0	0	48	0	255	26
UNION	15	0	74	957	726	738	1063	1063	1	Mystery Zone	166	0	68	96	0	255	0
UG	15	0	0	139	399	3	1073	1073	0	Mystery Zone	166	0	6	48	0	255	26
DIRECT2	15	0	75	137	397	3	1063	1063	2	Mystery Zone	166	0	68	96	0	255	26
DIRECT4	15	0	76	138	398	3	1063	1063	3	Mystery Zone	166	0	68	96	0	255	88
D17R1101	207	16	67	22	283	59	1001	1001	4	Bellchime Trail	145	0	1	8	246	28	78
D18R0101	191	16	25	23	284	60	1076	1076	5	Burned Tower	164	0	3	136	236	255	3
D24	15	0	0	139	399	3	1074	1074	0	Ruins of Alph	147	0	2	8	246	111	18
R01	15	0	0	168	413	319	1050	1050	6	Route 1	195	1	2	8	246	112	10
R02	15	0	0	169	414	320	1051	1051	7	Route 2	195	1	2	8	246	113	17
R03	15	0	0	175	420	326	1057	1057	8	Route 3	195	1	2	8	246	114	13
R04	15	0	0	178	423	328	1053	1053	9	Route 4	195	1	2	8	246	115	13
R05	15	0	0	179	424	329	1053	1053	10	Route 5	195	1	2	8	246	116	11
R06	15	0	0	184	429	334	1052	1052	11	Route 6	195	1	2	8	246	117	15
R07	15	0	0	186	431	336	1055	1055	12	Route 7	195	1	2	8	246	118	14
R08	15	0	0	188	433	338	1054	1054	13	Route 8	195	1	2	8	246	119	13
R09	15	0	0	190	435	340	1053	1053	14	Route 9	195	1	2	8	246	120	13
R10	15	0	0	191	436	341	1053	1053	15	Route 10	195	1	2	8	246	121	11
R11	15	0	0	197	442	346	1059	1059	16	Route 11	195	1	2	8	246	92	14
R12	15	0	0	199	444	348	1060	1060	17	Route 12	195	1	2	8	246	122	14
R13	15	0	0	201	446	350	1060	1060	18	Route 13	195	1	2	8	246	123	14
R14	15	0	0	202	447	351	1060	1060	19	Route 14	195	1	2	8	246	124	14
R15	15	0	0	203	448	352	1060	1060	20	Route 15	195	1	2	8	246	255	16
R16	15	0	0	205	450	354	1056	1056	21	Route 16	195	1	2	8	246	126	16
