===== Headers
# mapType	unkA	texture	matrix	scripts	levelScripts	texts	musicSpring	musicSummer	musicAutumn	musicWinder	wildPokemon	mapId	parentMapId	name	nameStyle	weather	camera	unkB	flags	unkC	nameIcon	flyX	flyY	flyZ
4	16	74	226	0	1	2	1035	1035	1035	1035	65535	0	0	Black City	4	64	0	64	236	226	0	43	0	38
16	16	211	13	2	3	3	1060	1060	1060	1060	65535	1	0	Black City	0	0	6	33	73	13	0	5	0	4
16	16	242	209	4	5	4	1035	1035	1035	1035	65535	2	0	Black City	0	0	0	33	73	209	0	5	0	4
16	16	242	209	6	7	5	1035	1035	1035	1035	65535	3	0	Black City	0	0	0	33	73	209	0	5	0	4
16	16	242	209	8	9	6	1035	1035	1035	1035	65535	4	0	Black City	0	0	0	33	73	209	0	5	0	4
16	16	242	213	10	11	7	1035	1035	1035	1035	65535	5	0	Black City	0	0	0	33	73	213	0	5	0	4
0	1	6	0	12	13	11	1026	1026	1026	1026	0	6	6	Striaton City	4	64	0	64	236	0	0	781	0	589
0	16	214	51	14	15	12	1062	1062	1062	1062	65535	7	6	Striaton City	0	0	0	33	73	65535	0	5	0	4
16	16	211	13	16	17	13	1060	1060	1060	1060	65535	8	6	Striaton City	0	0	6	33	73	13	0	5	0	4
16	16	210	26	18	19	14	1026	1026	1026	1026	65535	9	6	Striaton City	4	0	0	37	73	26	0	5	0	4
16	16	213	134	20	21	15	1026	1026	1026	1026	65535	10	6	Striaton City	0	0	0	33	73	134	0	5	0	4
16	16	210	26	22	23	16	1026	1026	1026	1026	65535	11	6	Striaton City	0	0	0	37	73	26	0	5	0	4
16	16	210	27	24	25	17	1026	1026	1026	1026	65535	12	6	Striaton City	0	0	0	33	73	27	0	5	0	4
16	16	210	26	26	27	18	1026	1026	1026	1026	65535	13	6	Striaton City	0	0	0	37	73	26	0	5	0	4
16	16	217	32	28	29	19	1026	1026	1026	1026	65535	14	6	Striaton City	0	0	0	33	73	32	0	5	0	4
16	16	210	29	30	31	20	1026	1026	1026	1026	65535	15	6	Striaton City	0	0	0	33	73	29	0	5	0	4
0	2	10	0	32	33	21	1027	1027	1027	1027	65535	16	16	Nacrene City	4	64	0	64	236	0	0	637	0	599
0	16	215	52	34	35	22	1027	1027	1027	1027	65535	17	16	Nacrene City	0	0	0	33	73	65535	0	5	0	4
0	16	229	55	36	37	23	1062	1062	1062	1062	65535	18	16	Nacrene City	0	0	0	33	73	65535	0	5	0	4
0	16	229	120	38	39	24	1062	1062	1062	1062	65535	19	16	Nacrene City	0	0	0	33	73	65535	0	5	0	4
0	16	211	13	40	41	25	1060	1060	1060	1060	65535	20	16	Nacrene City	0	0	6	33	73	13	0	5	0	4
16	16	216	169	42	43	26	1027	1027	1027	1027	65535	21	16	Nacrene City	0	0	0	33	73	169	0	5	0	4
16	16	216	31	44	45	27	1027	1027	1027	1027	65535	22	16	Nacrene City	0	0	0	33	73	31	0	5	0	4
16	16	216	31	46	47	28	1027	1027	1027	1027	65535	23	16	Nacrene City	0	0	0	33	73	31	0	5	0	4
16	16	216	31	48	49	29	1027	1027	1027	1027	65535	24	16	Nacrene City	0	0	0	33	73	31	0	5	0	4
16	16	216	49	50	51	30	1027	1027	1027	1027	65535	25	16	Nacrene City	0	0	0	33	73	49	0	5	0	4
16	16	216	30	52	53	31	1027	1027	1027	1027	65535	26	16	Nacrene City	0	0	0	33	73	30	0	5	0	4
16	16	244	50	54	55	32	1065	1065	1065	1065	65535	27	321	Nacrene Gate	0	0	0	34	77	65535	0	5	0	4
2	16	18	132	56	57	33	1028	1028	1028	1028	65535	28	28	Castelia City	4	64	4	64	236	255	0	3	8	1
0	16	230	56	58	59	34	1062	1062	1062	1062	65535	29	28	Castelia City	0	0	0	37	73	65535	0	5	0	4
14	16	186	1	60	61	35	1028	1028	1028	1028	65535	30	28	Castelia City	0	64	14	64	236	65535	0	0	0	0
16	16	186	2	62	63	36	1028	1028	1028	1028	65535	31	28	Castelia City	0	64	16	64	236	256	0	0	0	0
16	16	186	3	64	65	37	1028	1028	1028	1028	65535	32	28	Castelia City	4	64	26	64	236	257	0	0	0	0
16	16	186	4	66	67	38	1028	1028	1028	1028	65535	33	28	Castelia City	0	64	30	64	236	258	0	0	0	0
16	16	186	5	68	69	39	1028	1028	1028	1028	65535	34	28	Castelia City	0	64	28	64	236	259	0	0	0	0
16	16	186	6	70	71	40	1028	1028	1028	1028	65535	35	28	Castelia City	0	64	12	64	236	261	0	0	0	0
7	16	186	7	72	73	41	1028	1028	1028	1028	65535	36	28	Castelia City	0	64	50	64	236	65535	0	0	0	0
0	16	186	8	74	75	42	1028	1028	1028	1028	65535	37	28	Castelia City	0	64	50	64	236	263	0	0	0	0
0	16	186	9	76	77	43	1028	1028	1028	1028	65535	38	28	Castelia City	0	64	50	64	236	264	0	0	0	0
0	16	186	10	78	79	44	1028	1028	1028	1028	65535	39	28	Castelia City	0	64	50	64	236	265	0	0	0	0
0	16	186	11	80	81	45	1028	1028	1028	1028	65535	40	28	Castelia City	0	64	50	64	236	266	0	0	0	0
16	16	211	13	82	83	46	1060	1060	1060	1060	65535	41	28	Castelia City	0	0	6	33	73	13	0	5	0	4
16	16	266	177	84	85	47	1028	1028	1028	1028	65535	42	28	Castelia City	0	0	0	33	73	177	0	5	0	4
16	16	216	48	86	87	48	1028	1028	1028	1028	65535	43	28	Castelia City	0	0	0	37	73	48	0	5	0	4
16	16	217	33	88	89	49	1028	1028	1028	1028	65535	44	28	Castelia City	0	0	0	33	73	33	0	5	0	4
16	16	217	34	90	91	50	1028	1028	1028	1028	65535	45	28	Castelia City	0	0	0	33	73	34	0	5	0	4
16	16	217	43	92	93	51	1028	1028	1028	1028	65535	46	28	Castelia City	0	0	0	33	73	43	0	5	0	4
16	16	269	243	94	95	52	1028	1028	1028	1028	65535	47	28	Castelia City	0	0	0	37	73	243	0	5	0	4
16	16	217	43	96	97	53	1028	1028	1028	1028	65535	48	28	Castelia City	0	0	0	33	73	43	0	5	0	4
16	16	217	33	98	99	54	1028	1028	1028	1028	65535	49	28	Castelia City	0	0	0	37	73	33	0	5	0	4
16	16	217	43	100	101	55	1028	1028	1028	1028	65535	50	28	Castelia City	0	0	0	33	73	43	0	5	0	4
16	16	244	139	102	103	56	1065	1065	1065	1065	65535	51	326	Castelia Gate	0	0	0	34	77	65535	0	5	0	4
